Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00165468528771355,0,3.46944695195361E-18,0,0,0,5.71725666117692,0.0225933299115147,-7.46338336817294E-18,-8.65561792975494E-20,0.0444190381762262,-5.95570041038183E-20,0.0574836069857794,0,0,0,0,0,0,package://roller_3rd/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://roller_3rd/meshes/base_link.STL,,底盘-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg1_1_link,0.0229508358714046,5.55111512312578E-17,9.54097911787244E-18,0,0,0,0.350969420203415,0.000303791179644144,5.42101086242752E-20,-9.10079262163607E-20,0.00119023844034398,-5.26721073892596E-21,0.00101824231652429,0,0,0,0,0,0,package://roller_3rd/meshes/leg1_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://roller_3rd/meshes/leg1_1_link.STL,,arm1-1,leg1.1,leg_1.1,leg1_1_joint,continuous,-0.147803901741747,-0.0996390580196406,0,0,0,-2.55359005004223,base_link,0,0,1,0,3,0,6.2,,,,,,,,
leg1_2_Link,0.0200223800027242,5.55111512312578E-17,-0.015,0,0,0,0.111205750411731,2.18856469213198E-05,1.6940658945086E-20,6.79741766887558E-21,0.000444744745767282,-9.23153143079456E-21,0.000444744745767282,0,0,0,0,0,0,package://roller_3rd/meshes/leg1_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://roller_3rd/meshes/leg1_2_Link.STL,,arm2-4,leg1.2,leg_1.2,leg1_2_joint,prismatic,0.270650697408827,0,0.015,0,0,0,leg1_1_link,-1,0,0,0,3,0,0.2,,,,,,,,
leg1_3_Link,2.60208521396521E-18,-1.11022302462516E-16,2.22044604925031E-16,0,0,0,0.440608369665969,0.00059757510135947,-1.13051991884092E-19,-3.71158038358037E-20,0.00059757510135947,-2.98155597433514E-19,0.00112905894726905,0,0,0,0,0,0,package://roller_3rd/meshes/leg1_3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://roller_3rd/meshes/leg1_3_Link.STL,,wheel-2,leg1.3,leg_1.3,leg1_3_joint,continuous,0.105,0,-0.0150000000000001,0,-1.5707963267949,0,leg1_2_Link,0,0,-1,,,,,,,,,,,,
leg2_1_Link,0.0229508358714045,5.55111512312578E-17,5.20417042793042E-18,0,0,0,0.350969420203415,0.000303791179644144,-2.98155597433514E-19,-1.5297854950715E-20,0.00119023844034398,7.68595383024475E-22,0.0010182423165243,0,0,0,0,0,0,package://roller_3rd/meshes/leg2_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://roller_3rd/meshes/leg2_1_Link.STL,,arm1-2,leg2.1,leg_2.1,leg2_1_joint,continuous,-0.147803901741747,0.0996390580196404,0,0,0,2.55359005004223,base_link,0,0,1,0,3,0,6.2,,,,,,,,
leg2_2_Link,0.020022380002724,0,-0.015,0,0,0,0.111205750411731,2.18856469213197E-05,6.52215369385811E-20,2.6318863250598E-20,0.000444744745767282,-4.28962018583184E-22,0.000444744745767282,0,0,0,0,0,0,package://roller_3rd/meshes/leg2_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://roller_3rd/meshes/leg2_2_Link.STL,,arm2-1,leg2.2,leg_2.2,leg2_2_joint,prismatic,0.270650697408827,0,0.015,0,0,0,leg2_1_Link,1,0,0,0,3,0,0.2,,,,,,,,
leg2_3_Link,-8.67361737988404E-19,0,0,0,0,0,0.440608369665969,0.00059757510135947,-6.00188944931833E-20,5.02128542454901E-21,0.00059757510135947,-2.43945488809238E-19,0.00112905894726905,0,0,0,0,0,0,package://roller_3rd/meshes/leg2_3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://roller_3rd/meshes/leg2_3_Link.STL,,wheel-1,leg2.3,leg_2.3,leg2_3_joint,continuous,0.105,0,-0.015,0,-1.5707963267949,0,leg2_2_Link,0,0,-1,,,,,,,,,,,,
leg3_1_Link,0.0229508358714045,-1.38777878078145E-17,8.67361737988404E-18,0,0,0,0.350969420203415,0.000303791179644144,1.35525271560688E-20,-9.11069723201289E-20,0.00119023844034398,2.09135589396779E-20,0.0010182423165243,0,0,0,0,0,0,package://roller_3rd/meshes/leg3_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://roller_3rd/meshes/leg3_1_Link.STL,,arm1-3,leg3.1,leg_3.1,leg3_1_joint,continuous,0.152196098258253,0.0996390580196404,0,0,0,2.55359005004223,base_link,0,0,1,0,3,0,6.2,,,,,,,,
leg3_2_Link,0.0200223800027241,2.77555756156289E-17,-0.015,0,0,0,0.111205750411731,2.18856469213199E-05,-7.87740640946499E-20,-5.46487573117288E-21,0.000444744745767282,5.43866104817508E-21,0.000444744745767282,0,0,0,0,0,0,package://roller_3rd/meshes/leg3_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://roller_3rd/meshes/leg3_2_Link.STL,,arm2-2,leg3.2,leg_3.2,leg3_2_joint,prismatic,0.270650697408827,0,0.015,0,0,0,leg3_1_Link,-1,0,0,0,3,0,0.2,,,,,,,,
leg3_3_Link,1.73472347597681E-18,0,0,0,0,0,0.440608369665969,0.00059757510135947,3.73750468809786E-20,-2.80484915575377E-20,0.000597575101359471,-5.42101086242752E-20,0.00112905894726905,0,0,0,0,0,0,package://roller_3rd/meshes/leg3_3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://roller_3rd/meshes/leg3_3_Link.STL,,wheel-3,leg3.3,leg_3.3,leg3_3_joint,continuous,0.105,0,-0.015,0,-1.5707963267949,0,leg3_2_Link,0,0,-1,,,,,,,,,,,,
leg4_1_Link,0.0229508358714045,-5.55111512312578E-17,7.80625564189563E-18,0,0,0,0.350969420203415,0.000303791179644144,-4.47233396150271E-19,-8.15651439121812E-20,0.00119023844034398,-4.73281423090706E-21,0.0010182423165243,0,0,0,0,0,0,package://roller_3rd/meshes/leg4_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://roller_3rd/meshes/leg4_1_Link.STL,,arm1-4,leg4.1,leg_4.1,leg4_1_joint,continuous,0.152196098258253,-0.0996390580196402,0,0,0,-2.55359005004222,base_link,0,0,1,0,3,0,6.2,,,,,,,,
leg4_2_Link,0.0200223800027241,-5.55111512312578E-17,-0.015,0,0,0,0.111205750411731,2.18856469213198E-05,-7.96210970419042E-20,1.16988580810433E-20,0.000444744745767282,-4.59912379973578E-21,0.000444744745767282,0,0,0,0,0,0,package://roller_3rd/meshes/leg4_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://roller_3rd/meshes/leg4_2_Link.STL,,arm2-3,leg4.2,leg_4.2,leg4_2_joint,prismatic,0.270650697408827,0,0.0149999999999999,0,0,0,leg4_1_Link,-1,0,0,0,3,0,0.2,,,,,,,,
leg4_3_Link,-1.73472347597681E-18,-1.11022302462516E-16,1.11022302462516E-16,0,0,0,0.440608369665969,0.000597575101359471,1.99001385197597E-19,-1.30912365153136E-20,0.000597575101359471,0,0.00112905894726905,0,0,0,0,0,0,package://roller_3rd/meshes/leg4_3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://roller_3rd/meshes/leg4_3_Link.STL,,wheel-4,leg4.3,leg_4.3,leg4_3_joint,continuous,0.105,0,-0.0149999999999999,0,-1.5707963267949,0,leg4_2_Link,0,0,-1,,,,,,,,,,,,
